support_num,ckpt_support_num,ckpt_iter_num,step,IoU,Acc,Dice
10,100,30,70,82.42,90.36,90.36
10,100,30,80,82.57,90.45,90.45
10,100,30,90,82.65,90.5,90.5
100,100,30,0,83.53,91.03,91.03
100,100,30,10,85.5,92.18,92.18
100,100,30,20,85.41,92.13,92.13
100,100,30,30,87.42,93.29,93.29
100,100,30,40,82.8,90.59,90.59
100,100,30,50,85.93,92.44,92.44
100,100,30,60,86.21,92.59,92.59
100,100,30,70,84.53,91.62,91.62
100,100,30,80,84.3,91.48,91.48
100,100,30,90,84.94,91.86,91.86
200,100,30,0,83.05,90.74,90.74
200,100,30,10,87.25,93.19,93.19
200,100,30,20,86.15,92.56,92.56
200,100,30,30,87.1,93.11,93.11
200,100,30,40,86.69,92.87,92.87
200,100,30,50,85.04,91.91,91.91
200,100,30,60,84.22,91.43,91.43
200,100,30,70,86.63,92.84,92.84
200,100,30,80,86.87,92.97,92.97
200,100,30,90,87.45,93.31,93.31
500,100,30,0,82.15,90.2,90.2
500,100,30,10,83.58,91.06,91.06
500,100,30,20,84.57,91.64,91.64
500,100,30,30,83.92,91.25,91.25
500,100,30,40,85.29,92.06,92.06
500,100,30,50,88.07,93.65,93.65
500,100,30,60,87.77,93.49,93.49
500,100,30,70,86.57,92.8,92.8
500,100,30,80,87.11,93.11,93.11
500,100,30,90,86.57,92.8,92.8
10,100,40,0,84.22,91.43,91.43
10,100,40,10,88.43,93.86,93.86
10,100,40,20,84.37,91.52,91.52
10,100,40,30,87.13,93.12,93.12
10,100,40,40,87.28,93.21,93.21
10,100,40,50,86.83,92.95,92.95
10,100,40,60,87.03,93.06,93.06
10,100,40,70,84.31,91.49,91.49
10,100,40,80,83.9,91.24,91.24
10,100,40,90,81.65,89.9,89.9
100,100,40,0,85.92,92.43,92.43
100,100,40,10,82.14,90.19,90.19
100,100,40,20,86.6,92.82,92.82
100,100,40,30,89.2,94.29,94.29
100,100,40,40,86.23,92.6,92.6
100,100,40,50,86.29,92.64,92.64
100,100,40,60,87.86,93.54,93.54
100,100,40,70,84.12,91.38,91.38
100,100,40,80,87.15,93.14,93.14
100,100,40,90,86.79,92.93,92.93
200,100,40,0,81.03,89.52,89.52
200,100,40,10,87.09,93.1,93.1
200,100,40,20,85.21,92.02,92.02
200,100,40,30,85.12,91.96,91.96
200,100,40,40,82.87,90.63,90.63
200,100,40,50,83.57,91.05,91.05
200,100,40,60,83.56,91.04,91.04
200,100,40,70,86.19,92.58,92.58
200,100,40,80,85.82,92.37,92.37
200,100,40,90,85.12,91.96,91.96
500,100,40,0,83.48,91.0,91.0
500,100,40,10,83.24,90.85,90.85
500,100,40,20,84.27,91.46,91.46
500,100,40,30,84.11,91.37,91.37
500,100,40,40,72.42,84.0,84.0
500,100,40,50,84.84,91.8,91.8
500,100,40,60,88.73,94.03,94.03
500,100,40,70,86.89,92.99,92.99
500,100,40,80,73.34,84.62,84.62
500,100,40,90,87.14,93.13,93.13
10,100,50,0,86.29,92.64,92.64
10,100,50,10,85.42,92.14,92.14
10,100,50,20,87.29,93.21,93.21
10,100,50,30,83.48,90.99,90.99
10,100,50,40,85.88,92.4,92.4
10,100,50,50,84.4,91.54,91.54
10,100,50,60,82.67,90.51,90.51
10,100,50,70,87.69,93.44,93.44
10,100,50,80,87.31,93.22,93.22
10,100,50,90,86.14,92.56,92.56
100,100,50,0,83.36,90.92,90.92
100,100,50,10,83.15,90.8,90.8
100,100,50,20,86.49,92.76,92.76
100,100,50,30,83.67,91.11,91.11
100,100,50,40,84.95,91.86,91.86
100,100,50,50,85.42,92.14,92.14
100,100,50,60,85.07,91.93,91.93
100,100,50,70,84.1,91.36,91.36
100,100,50,80,83.58,91.06,91.06
100,100,50,90,87.1,93.11,93.11
200,100,50,0,81.76,89.97,89.97
200,100,50,10,83.43,90.97,90.97
200,100,50,20,86.56,92.8,92.8
200,100,50,30,82.6,90.47,90.47
200,100,50,40,82.86,90.62,90.62
200,100,50,50,83.89,91.24,91.24
200,100,50,60,87.64,93.41,93.41
200,100,50,70,82.11,90.17,90.17
200,100,50,80,82.67,90.51,90.51
200,100,50,90,81.18,89.61,89.61
500,100,50,0,86.34,92.67,92.67
500,100,50,10,82.22,90.24,90.24
500,100,50,20,85.89,92.41,92.41
500,100,50,30,83.25,90.86,90.86
500,100,50,40,83.04,90.74,90.74
500,100,50,50,86.07,92.51,92.51
500,100,50,60,87.09,93.1,93.1
500,100,50,70,83.95,91.27,91.27
500,100,50,80,86.21,92.59,92.59
500,100,50,90,88.35,93.81,93.81
10,200,20,0,84.92,91.85,91.85
10,200,20,10,87.83,93.52,93.52
10,200,20,20,87.13,93.12,93.12
10,200,20,30,85.82,92.37,92.37
10,200,20,40,85.68,92.28,92.28
10,200,20,50,83.11,90.77,90.77
10,200,20,60,86.72,92.89,92.89
10,200,20,70,82.51,90.42,90.42
